2026-04-12 22:18:59,026 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Ставка ФРС | Сериал про FTX | Криптоафера таксиста
2026-04-12 22:19:00,976 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Большой выпуск про крипту: Трамп, тренды, TON и по
2026-04-12 22:19:02,826 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): За что экономисты ругают крипту? Экономически смыс
2026-04-12 22:19:04,459 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 1 вне диапазона): Крипта, блокчейн и два биткоина: что было, есть и
2026-04-12 22:19:06,301 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 1 вне диапазона): Исповедь Маркетмейкера: ПРАВДА: Как и почему обвал
2026-04-12 22:19:10,815 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта cкоро начнет расти? Почему 2026 САМЫЙ ВАЖНЫ
2026-04-12 22:19:12,720 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 14 вне диапазона): 🚨КРИПТА — Скільки Ще Падати?? Прогноз Біткоїн та А
2026-04-12 22:19:14,769 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Неудобная правда окрипте
2026-04-12 22:19:15,121 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта trending
2026-04-12 22:19:17,574 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Сырых результатов: 26
2026-04-12 22:19:19,461 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Криптовалюта для начинающих. Путь новичка в крипте
2026-04-12 22:19:21,525 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 1 вне диапазона): ЭТО БЫЛ НЕ ОБВАЛ. ТАК РАБОТАЕТ РЫНОК КРИПТЫ - YouT
2026-04-12 22:19:22,964 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Трендырынка в 2025 году!?! #крипта#тренды- YouTube
2026-04-12 22:19:24,603 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): ГЛАВНЫЕТРЕНДЫКРИПТЫВ 2025 - YouTube
2026-04-12 22:19:26,404 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Трендна упрощение!?! #крипта#тренды- YouTube
2026-04-12 22:19:28,068 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 2 вне диапазона): RWA — главныйтрендвкриптев 2025? - YouTube
2026-04-12 22:19:30,022 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 7 вне диапазона): BlackRock Уже В Игре: Почему Токенизация — Самый..
2026-04-12 22:19:33,275 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 52 вне диапазона): Криптовалюта прогноз. Биткоин достиг дна или следу
2026-04-12 22:19:35,210 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 138 вне диапазона): Вот почему на бирже НЕВОЗМОЖНО выиграть в долгую.
2026-04-12 22:19:36,966 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Улучшенная стратегия инвестиций в крипту. - YouTub
2026-04-12 22:19:38,602 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 54 вне диапазона): Крипта упала, что делать дальше? Прогноз по рынку
2026-04-12 22:19:40,449 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): 3 главныхтрендакриптыдо 2025 года которые нельзя п
2026-04-12 22:19:40,801 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Итого: 0 видео
2026-04-12 22:31:20,138 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Поиск: query='крипта', max=50, lang=RU
2026-04-12 22:31:20,139 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Фильтры: duration=4-25min, subs=8000-100000
2026-04-12 22:31:20,139 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта
2026-04-12 22:31:22,352 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Сырых результатов: 26
2026-04-12 22:31:24,009 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): КриптаI Яндекс про Директ 2.0 - YouTube
2026-04-12 22:31:25,725 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Цвет настроения красный...криптабыла для всех для.
2026-04-12 22:31:27,568 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Как разобраться в крипте в 2026 году с нуля? С чег
2026-04-12 22:31:29,418 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта в 2026: вывел все деньги и что делаю дальше
2026-04-12 22:31:31,037 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 444 вне диапазона): Крипта стала легальна в России! - YouTube
2026-04-12 22:31:32,690 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта в 2026: начинается то, чего никто не ждёт -
2026-04-12 22:31:34,384 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта: как заработать НИЧЕГО не понимая? - YouTub
2026-04-12 22:31:35,962 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта: самый ПРОСТОЙ способ заработка для новичко
2026-04-12 22:31:37,676 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 34 вне диапазона): КРИПТА. Начало - обзор настольной игры от Geek Med
2026-04-12 22:31:39,790 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 110 вне диапазона): ГРИВНЯ чи КРИПТА: що краще для ЗАОЩАДЖЕНЬ? - YouTu
2026-04-12 22:31:41,449 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 13 вне диапазона): 🚨КРИПТА СТАВИТЬ ДНО? 🔴 ЧОМУ НАТОВП ЗНОВУ ПОМИЛЯЄТЬ
2026-04-12 22:31:42,966 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): ФРС, доллар и крипта: что сейчас ломает рынок. Рек
2026-04-12 22:31:44,604 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 649 вне диапазона): Криптадля абсолютных новичков. Пошаговая инструкци
2026-04-12 22:31:46,337 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Что-то странное готовит намкрипта. - YouTube
2026-04-12 22:31:48,081 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 60 вне диапазона): Блеск золота, паника рубля и уныниекрипты#Доллар..
2026-04-12 22:31:49,693 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 4 вне диапазона): КРИПТА- РАЗОЧАРОВАНИЕ! / Не совершай моих... - You
2026-04-12 22:31:51,367 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта: как на ней зарабатывают и теряют миллионы?
2026-04-12 22:31:52,920 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 67 вне диапазона): Твоя крипта может быть «грязной». Даже если ты нич
2026-04-12 22:31:54,341 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 67 вне диапазона): Как начать инвестировать в крипту в 2026 и не пожа
2026-04-12 22:31:55,706 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 125 вне диапазона): Крипта — ВСЕ? Куда идет Биткоин? Золото на ATH и с
2026-04-12 22:31:57,516 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 67 вне диапазона): Крипта 2025: деньги, за которыми приходят - YouTub
2026-04-12 22:31:59,290 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта и обман: разоблачение схем, курсов и прогре
2026-04-12 22:32:00,920 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): НОВЫЕ ПРАВИЛА ИГРЫ - Нефть, Крипта, Индексы - Что
2026-04-12 22:32:02,644 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Чиновники, аресты, санкции, многомиллиардные крахи
2026-04-12 22:32:04,409 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): P2P УМЕР! Что дальше? | Легальная крипта в России
2026-04-12 22:32:06,067 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Геополитика и крипта, рынок меняется! Bitcoin, Xst
2026-04-12 22:32:06,421 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта смотреть
2026-04-12 22:32:08,788 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Сырых результатов: 27
2026-04-12 22:32:10,584 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипто. Криминальная Драма. Лучшие фильмы - YouTub
2026-04-12 22:32:12,517 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Полный выпуск смотреть на канале☝🏻 #крипта #биткои
2026-04-12 22:32:14,256 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипто — Русский трейлер (2020) - YouTube
2026-04-12 22:32:15,954 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 3 вне диапазона): The Door in the Woods | "The Door" |CryptTV Monste
2026-04-12 22:32:17,695 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипто / Crypto / триллер, криминал, драма _Action
2026-04-12 22:32:19,534 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Криптокоролева: самая разыскиваемая аферистка в ми
2026-04-12 22:32:29,178 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 1 вне диапазона): ЗАХВАТЫВАЮЩИЙ ФИЛЬМ НЕ ОСТАВИТ НИКОГО РАВНОДУШНЫМ!
2026-04-12 22:32:31,200 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Криптовалюта: возможность заработать или финансовы
2026-04-12 22:32:32,886 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крип — трейлер (2004) #54 - YouTube
2026-04-12 22:32:38,909 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 138 вне диапазона): Вот почему на бирже НЕВОЗМОЖНО выиграть в долгую.
2026-04-12 22:32:40,429 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Ставка ФРС | Сериал про FTX | Криптоафера таксиста
2026-04-12 22:32:42,435 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 2 вне диапазона): УжасыCryptTV #2: Паучиха Мисс Эннити - YouTube
2026-04-12 22:32:44,317 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): ANAR DREAMS: из долга 15.000.000 в плюс 35 млн. за
2026-04-12 22:32:46,070 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 3 вне диапазона): MISS ANNITY | "Kiss And Make Up" | S1E3 |CryptTV..
2026-04-12 22:32:49,364 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 3 вне диапазона): BEAST UNDER THE BED | "Flesh And Blood" |CryptTV..
2026-04-12 22:32:51,447 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Кандидат без данных по подписчикам: ЗАХВАТЫВАЮЩИЙ КРИМИНАЛЬНЫЙ ДЕТЕКТИВ ...
2026-04-12 22:32:51,800 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта видео
2026-04-12 22:32:55,018 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Сырых результатов: 31
2026-04-12 22:32:56,761 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): #топ #шортс #криптовалюта #биткоин #bitcoinnews #к
2026-04-12 22:33:02,496 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Буллран продолжается? Цели роста - YouTube
2026-04-12 22:33:04,620 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Ты изменишь отношение к КРИПТЕ после этого видео.
2026-04-12 22:33:07,369 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта в 2026: как заработать, когда мало денег? -
2026-04-12 22:33:23,266 | INFO | Thread-31 (process_youtube_trends) | [YouTube Metadata Error] HTTPSConnectionPool(host='www.youtube.com', port=443): Read timed out. (read timeout=15)
2026-04-12 22:33:23,267 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Кандидат без данных по подписчикам: Музей за икони в крипта Александър Невски(видео) -
2026-04-12 22:33:25,038 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 2 вне диапазона): CRYPTA- From The Ashes (OfficialVideo) | Napalm...
2026-04-12 22:33:26,759 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 112 вне диапазона): Криптовалюта Для Чайников! Все что Нужно Знать в О
2026-04-12 22:33:28,638 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Как заработать на крипте СЕЙЧАС новичку? Это после
2026-04-12 22:33:30,919 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Не покупай крипту БЕЗ этих 21 уроков - YouTube
2026-04-12 22:33:32,743 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 1 вне диапазона): Крипта, блокчейн и два биткоина: что было, есть и
2026-04-12 22:33:34,122 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта для новичков: с чего начать? #криптовалюта
2026-04-12 22:33:35,857 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 255 вне диапазона): В чем подвох криптовалюты или Кто стоит за биткоин
2026-04-12 22:33:37,729 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 214 вне диапазона): Что такое криптовалюта простыми словами? Даже двое
2026-04-12 22:33:39,893 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Биткойн всех обманул - Что с криптовалютой в 2023
2026-04-12 22:33:43,402 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Большой выпуск про крипту: Трамп, тренды, TON и по
2026-04-12 22:33:45,678 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 1 вне диапазона): Деньги, которых нет. На чем держится криптовалюта?
2026-04-12 22:33:47,540 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Криптовалюта: самое ПРОСТОЕ объяснение как заработ
2026-04-12 22:33:49,705 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Sofia the First - Sofia transforms into Crystal Bi
2026-04-12 22:33:50,058 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Строгий фильтр дал 0. Возвращаю 2 кандидатов с неизвестными подписчиками.
2026-04-12 22:33:50,058 | INFO | Thread-31 (process_youtube_trends) | [YouTube Trends] Итого: 2 видео
2026-04-12 22:37:05,514 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Поиск: query='крипта', max=50, lang=RU
2026-04-12 22:37:05,516 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Фильтры: duration=4-38min, subs=10000-100000
2026-04-12 22:37:05,516 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта
2026-04-12 22:37:07,796 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Сырых результатов: 29
2026-04-12 22:37:16,015 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Threads That Speak: How The Inca Used Strings to C
